"id","state","year","count","rate"
"24","Maryland",2011,10557,171.2
"24","Maryland",2012,11023,174.4
"24","Maryland",2013,11244,172.7
"24","Maryland",2014,11135,167.8
"24","Maryland",2015,11481,169.3
"25","Massachusetts",1999,15871,228.5
"25","Massachusetts",2000,15314,217.9
"25","Massachusetts",2001,15144,213.5
"25","Massachusetts",2002,14736,205.5
"25","Massachusetts",2003,14634,201.5
"25","Massachusetts",2004,13824,188.9
"25","Massachusetts",2005,13280,179
"25","Massachusetts",2006,12947,171.7
"25","Massachusetts",2007,12710,166.4
"25","Massachusetts",2008,12776,164.1
"25","Massachusetts",2009,12322,156.1
"25","Massachusetts",2010,12043,150
"25","Massachusetts",2011,11765,143.8
"25","Massachusetts",2012,11602,139.1
"25","Massachusetts",2013,12023,141.5
"25","Massachusetts",2014,11817,137.1
"25","Massachusetts",2015,12130,138.5
"26","Michigan",1999,27693,292.9
"26","Michigan",2000,27325,285.9
"26","Michigan",2001,26896,276.4
"26","Michigan",2002,26659,269.6
"26","Michigan",2003,26010,258
"26","Michigan",2004,24825,242.7
"26","Michigan",2005,25128,241.3
"26","Michigan",2006,24255,228.1
"26","Michigan",2007,24149,222.5
"26","Michigan",2008,24344,220.6
"26","Michigan",2009,23099,205.5
"26","Michigan",2010,23326,204.3
"26","Michigan",2011,23358,200.1
"26","Michigan",2012,23520,197.9
"26","Michigan",2013,24156,199.8
"26","Michigan",2014,24692,200.9
"26","Michigan",2015,24794,198.9
"27","Minnesota",1999,9533,192.4
"27","Minnesota",2000,8885,177.7
"27","Minnesota",2001,8760,172
"27","Minnesota",2002,8602,165.9
"27","Minnesota",2003,8144,154.1
"27","Minnesota",2004,7891,146.7
"27","Minnesota",2005,7926,145.4
"27","Minnesota",2006,7525,134.9
"27","Minnesota",2007,7477,130.7
"27","Minnesota",2008,7367,126.6
"27","Minnesota",2009,7238,122.1
"27","Minnesota",2010,7185,119.4
"27","Minnesota",2011,7240,117
"27","Minnesota",2012,7496,119.2
"27","Minnesota",2013,7714,119.6
"27","Minnesota",2014,7659,116.5
"27","Minnesota",2015,7844,116.6
"28","Mississippi",1999,9336,347.4
"28","Mississippi",2000,9256,341.2
"28","Mississippi",2001,9050,333.5
"28","Mississippi",2002,9061,332.6
"28","Mississippi",2003,8683,317.1
"28","Mississippi",2004,8282,298.8
"28","Mississippi",2005,8637,306.4
"28","Mississippi",2006,8097,285.4
"28","Mississippi",2007,8037,278.5
"28","Mississippi",2008,7997,273.2
"28","Mississippi",2009,7530,253.8
"28","Mississippi",2010,7542,251.1
"28","Mississippi",2011,7335,240.1
"28","Mississippi",2012,7269,231.3
"28","Mississippi",2013,7715,240
"28","Mississippi",2014,7538,229.9
"28","Mississippi",2015,7969,240.5
"29","Missouri",1999,17974,300.5
"29","Missouri",2000,17235,286
"29","Missouri",2001,16633,273.4
"29","Missouri",2002,16708,272.7
"29","Missouri",2003,16410,264.9
"29","Missouri",2004,15500,248.5
"29","Missouri",2005,14974,236.8
"29","Missouri",2006,14749,228.8
"29","Missouri",2007,14338,218.9
"29","Missouri",2008,14644,219.8
"29","Missouri",2009,13916,206.1
"29","Missouri",2010,13840,201.8
"29","Missouri",2011,13810,197.4
"29","Missouri",2012,13742,193.4
"29","Missouri",2013,14095,194.7
"29","Missouri",2014,14338,194.7
"29","Missouri",2015,14808,197.9
"30","Montana",1999,2049,214.6
"30","Montana",2000,1995,205.7
"30","Montana",2001,1970,199
"30","Montana",2002,1944,192.8
"30","Montana",2003,1984,193.3
"30","Montana",2004,1838,175.1
"30","Montana",2005,1855,172.2
"30","Montana",2006,1869,169.4
"30","Montana",2007,1870,164.5
"30","Montana",2008,1975,170.6
"30","Montana",2009,1832,154.3
"30","Montana",2010,1849,154.2
"30","Montana",2011,1921,156.9
"30","Montana",2012,1903,151.1
"30","Montana",2013,2004,154.3
"30","Montana",2014,1957,147.8
"30","Montana",2015,2104,155.8
"31","Nebraska",1999,4497,235
"31","Nebraska",2000,4197,217.1
